SrNo,College_Code,Institue_Name,Address,Email,District,Principal_Name,Office_No,Personal_No,TPO_Name,Autonomy_Status,Year_of_Establishment
100,4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur","Khasara No-94,95&164/1,Mauza Dahegaon,Opposite IOC Prtrol Pump,Kalmeshwar, Nagpur",gnietnagpur@gmail.com,Nagpur,Dr.Sanjeev Shrivastava,661400,661400,Mr. Shital V. Likhar,Non-Autonomous,2007
101,4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur","Survey No. 148/149, Salai Godhani, Near Chikna Village, Hudakeshwar Road, Nagpur",gwcet@rediffmail.com,Nagpur,Dr. Salim A. Chavan,2742308,2742308,Mr. Pankaj Kohale,Non-Autonomous,2008
102,4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur","Behind Asarambapu Ashram Village, Yerala, Katol Road, Nagpur",ceo@sbjit.edu.in,Nagpur,Dr. S.L. Badjate,2667777,2667666,Mr. Nilesh Gaulkar,Non-Autonomous,2008
103,4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur","At Khandala, Post Vaini Katol Road, Nagpur",principal@jdcoem.ac.in,Nagpur,Dr. S. R. Chaudhari,2023003,2682619,Dr Ujwala S Dange,Non-Autonomous,2008
104,4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur","Kh. No.72, 68/1, 68/2, 68/3, Lonara Dist. Nagpur",admin@jit.org.in,Nagpur,Dr. Narendra Bawane,2668233,2668235,Mr. SUMEET CHANDEGAVE,Non-Autonomous,2008
105,4142,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur","MIDC, Near Facor, Higna Wadi Road, Nagpur",ghrietn@raisoni.net,Nagpur,Dr. Prashant Pawade,234501,234501,Prof. M.J. Katira,Non-Autonomous,2008
106,4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur","Sr. No.13/2, Mahurzari, Katol Road, Taluka & Dist Nagpur",registrar@nit.edu.in,Nagpur,Dr. Amol Deshmukh,9881711787,9881711787,Sandeep Kale,Non-Autonomous,2008
107,4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur","Dongargoan, Near Gumgaon Railway Station, Post - Gumgaon, Wardha road, Nagpur",wcem4145@gmail.com,Nagpur,Dr. Manish Bihade,203728,202007,Mr. R P Madankar,Non-Autonomous,2008
108,4146,"KDK College of Engineering, Umrer, Nagpur","State Highway No.9, Opp. W. C. L., Umrer Project, Umrer, Nagpur",dratulcwaghmare@rediffmail.com,Nagpur,Dr. A.C. Waghmare,247317,247823,Mr. Ajay Dhanvijay,Non-Autonomous,1999
109,4147,"K.D.K. College of Engineering, Nagpur","Great Nag Road, Nandanvan, Nagpur",kdkce4147@gmail.com,Nagpur,Dr. D. P. Singh,2710030,2711400,Anant B. Bute,Non-Autonomous,1984
110,4151,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur","Kh. No. 8/1, Mohgaon,Wardha Road,Nagpur",vidarbhabuss@yahoo.co.in,Nagpur,Dr. S.S. Rathore,645410,6648252,SANDEEP PALSODKAR,Non-Autonomous,2007
111,4165,"Gondia Education Society's Manoharbhai Patel Institute of Engineering and Technology, Gondia","Kudwa, Dist. Gondia",principal_miet@rediffmail.com,Gondia,Prof. D.K. Pandey,252033,252158,Mr. W.N.Sahare,Non-Autonomous,1983
112,4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur","Hingna Road, Wanadongri, Nagpur 441110",principal@ycce.edu,Nagpur,DR. U.P. WAGHE,242919,329250,DR. P. K. DAKHOLE,Autonomous,1984
113,4171,"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur","Mouza Shivangaon , Khasara, 1/1A, 1909/12C, Near CRPF Campus, Hingna Road, Nagpur",viveknanoti@gmail.com,Nagpur,Dr. V.M. Nanoti,244463,244470,Mr. Abhaykumar Das,Non-Autonomous,1999
114,4172,"Anjuman College of Engineering & Technology, Nagpur","Mangalwari Bazar Road, Sadar, Nagpur",eng_acet@rediffmail.com,Nagpur,Dr. Syed Mohammad Ali,6604502,2583559,Aamir Siddiqui,Non-Autonomous,1999
115,4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha","Agnihotri College Campus, Bapujiwadi, Ramnagar, Wardha",agisspace2007@gmail.com,Wardha,Dr. Rajkishor M. Tugnayat,250007,232552,MR.GAJANAN DANDADE,Non-Autonomous,2007
116,4177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur","Harpur Nagar, Umrer Road, Nagpur",principalpbcoe@gmail.com,Nagpur,Dr. N. K. Choudhari,2710282,2710281,Mr. V. D. Barapatre,Non-Autonomous,2007
117,4179,"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur","Opp. Lata Mangeshkar Hospital, Hingana Road, Nagpur",pigce.principal@gmail.com,Nagpur,Dr. R. M. Dhoble,232545,232545,Mr. Sachin Khedikar,Non-Autonomous,2008
118,4180,"KDKs Shrimati Rajashri Mulak College of Engineering for Womens, Nagpur","KDK College Campus, Great Nag Road, Nandanvan, Nagpur",principal_srmcew@yahoo.com,Nagpur,Dr. Pushpa Devnani,2714750,2716411,Mr. H V Sondawale,Non-Autonomous,2008
119,4185,"Shree Bapuraoji Deshmukh Foundation, Suresh Deshmukh College of Engineering, Selukate, Wardha","Selukate, Survey No. 161, Mauje Selu Kate, Dist. Wardha",princi.sdces@gmail.com,Wardha,Dr S. V. DESHMUKH,282533,282333,Mr. K.D. Fartade,Non-Autonomous,2008
120,4187,"Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri, Nagpur","Wanhadongri, Hingna Road, Nagpur",svssngp@gmail.com,Nagpur,Dr. V.H. Tatwawadi,242406,242406,Mrs.Lucky Chandekar,Non-Autonomous,2008
121,4189,"Sardar Patel Memorial Society's Namdevrao Poreddiwar College of Engineering and Technology, Gadchiroli","At Mouza Boldi, Dhanopra Road, Tal & Dist. Gadchiroli",principal.ncet@gmail.com,Gadchiroli,Prof. Balbirsingh Guram,237861,237862,Vinod Dhamange,Non-Autonomous,2009
122,4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati","Near Village Lonara, Nagpur Road, Badravati Dist. Chandrapur",mdyergude@yahoo.com,Chandrapur,DR. J.F.AGRAWAL,230723,230723,MR.J.S. TRIPATI,Non-Autonomous,2009
123,4194,"Nav Disha Education Soc, Acharya Vinoba Bhave Institute of Technology ,Mauza-Pawnar,Wardha","At Post Pavanar, Dist. Wardha",avbit2008@rediffmail.com,Wardha,Prof.Amit S Manikrao,93733950,93733950,Pradip umate,Non-Autonomous,2009
124,4195,"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad – Patil College of Engineering, Nagpur","Khasara No.8/1, Mohgaon, Wardha Road, Tal. & Dist. Nagpur",vidarbhabuss@yahoo.co.in,Nagpur,Dr. Prashant Kadu,645412,6648252,Liladhar Bawane,Non-Autonomous,2009
125,4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur","Dahegaon, Kalmeshwar Road, Nagpur",gniemnagpur@gmail.com,Nagpur,Dr. Sudhir N. Shelke,661450,2234333,Shri. Rajendra Khobe,Non-Autonomous,2009
126,4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)","Nagthana Road, Near Bypass Highway Road, Sindhi (Meghe). Wardha",ajayshelke.000@rediffmail.com,Wardha,Prof. Abhishek Kumar,250152,240527,Gajanan A. Dandade,Non-Autonomous,2009
127,4252,"Late Madhukarrao Deshmukh Education Soceity's Avdhoot Diploma College Of Engineering, Mouza, Bhojapur","Mauza Bhojapur, P.H. No.115, Sur. No.6, Kuhi, Nagpur 400001",avdootpoly@rediffmal.com,Nagpur,Kiran N. Urkude,220021,220021,Nitin Madhukarrao Deshmukh,Non-Autonomous,2009
128,4254,"Krushna Sahayogi Tantra Shikshan Sanstha, Chatrapati Shivaji Institute Of Technology, Deori, Gondia","Shivaji Campus,At.Post.Th.Deori(Chichgadh Road) Gondia , 441901",kstsscsit@rediffmail.com,Gondia,MR.ASHISHSINGH KHATWAR,225631,225631,Chittaranjan girhepuje,Non-Autonomous,2009
129,4260,"Sikh Education Society's Gurunanak Technical Institute of Pharmacy, Nagpur","Mauza Nari, Near Dixit Nagar, Kh. No. 81/1, C.P. Foundry,Pili Nadi Nagpur , 440026",gnti1983@yahoo.com,Nagpur,Dr. Abhay Madhavrao Ittadwar,2633854,2242017,Harmindersingh Huda,Non-Autonomous,1983
130,4285,"V M Institute of Engineering and Technology, Dongargaon, Nagpur","Dhutte village , Near Dongargaon, Wardha Road, Nagpur",vmietnag@gmail.com,Nagpur,Dr. Ankush A. Mankar,6650243,645689,Liladhar Bawane,Non-Autonomous,2010
131,4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara","N.H.6 Shahapur,Bhandara",principalmietb@rediffmail.com,Bhandara,Dr. Ashish Nashine,9975591177,7709967710,CHAKRADHAR KAHALKAR,Non-Autonomous,2010
132,4303,"Vidya Niketan Institute of Engineering and Technology, Nagpur","At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur",principal@vniet.org,Nagpur,Prof. P. T. Petkar,277088,277088,Prof. S. D. Ninawe,Non-Autonomous,2010
133,4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur","Mouje Sukhali (Gupchup), Tal. Hingna Dist. Nagpur",office@cumminscollege.edu.in,Nagpur,Dr. Bharatbhushan Joshi,96576670,94230551,Mr. Pradeep Joshi,Non-Autonomous,2010
134,4305,"G.H.Raisoni Academy of Engineering & Technology, Nagpur","Shraddha Park, Off Hingna-Wadi Link Road, Nagpur",ghraetnag@raisoni.net,Nagpur,Dr. Vivek Kapur,237688,237688,Prashant Awachat,Non-Autonomous,2010
135,4319,"Indian Instiutute of Fire Engineering, Nagpur","Makardhokda Katol Road,Near VeerChakra Colony, Nagpur 440013",fireinstitute96@gmail.com,Nagpur,Shrimati Radha Chimurkar,2574129,2570733,milind chimurkar,Non-Autonomous,1996
136,4613,"Suryodaya College of Engineering & Technology, Nagpur","Survey No. 117/1 & 117/3 A, Vihirgaon, Nagpur",scetngp@gmail.com,Nagpur,Dr. Chandrakant S. Ragit,276282,276282,Mr. Manoj N. Guhe,Non-Autonomous,2010
137,4649,"Bajaj Institute of Technology, Wardha","Arvi Road, in Front of Ramkrishna Bajaj Agriculture College, Pipri, Wardha",shikshamandal@gmail.com,Wardha,Dr. Narendra M. Kanhe,255770,9823382851,Mr. Parag Kombe,Non-Autonomous,2017
138,5004,"Government College of Engineering, Jalgaon","Opp.Govt I.T. I. National Highway No-6, Jalgaon",princoej@rediffmail.com,Jalgaon,Dr. R.P.Borkar,2281522,2281522,Smt. S A Patil,Autonomous,1996
139,5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule","SSVP Sansthas B S Deore College of Engineering ,M.B.A.Department, Dhule",princi.ssvps@gmail.com,Dhule,Dr.Hitendra D.Patil,272713,284300,Prof. Kunal S. Patil,Non-Autonomous,1983
140,5105,"G.H. Raisoni Institute of Engineering and Management, Jalgaon","Gat No. 57/1, Shirsoli Road, At. Post- Mohadi Tal. & Dist. Jalgaon,",prabhakar.bhat@raisoni.net,Jalgaon,Dr. A. G. MATHEW,2264881,2264882,Arun Daulatrao Patil,Non-Autonomous,2007
141,5106,"K. C. E. Societys College of Engineering and Information Technology, Jalgaon","C.S. No. 7480 and 7323, Behind D.I.C., N.H.No.6, IMR Campus, Jilha Path, Jalgaon",coeit.inquiry@gmail.com,Jalgaon,Dr. K. P. Rane,2242025,2242026,Prof. Sanjay R Sugandhi,Non-Autonomous,2001
142,5107,"Shri Gulabrao Deokar College of Engineering, Jalgaon","Gat No. 56, P.B. NO. 113, Shirsoli Road, Jalgaon",principal@sgdcoejalgaon.org,Jalgaon,Dr. A. J. Patil,2264871,2264873,Shashikant B Patil,Non-Autonomous,1999
143,5108,"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik","Udoji Maratha Boarding Campus, Near Pumping Station, Gangapur Road, Nashik",principal@kbtcoe.org,Nashik,Dr. Nanasaheb Shripat Patil,2571439,7378497999,Mrs. Shrushti J. Shinde,Non-Autonomous,1999
144,5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik","At Post mahiravani, Trimbak Road Dist Nashik",principal@sitrc.org,Nashik,Dr. S. T. Gandhe,222551,222551,Mrs. Aruna Aher,Non-Autonomous,2008
145,5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon","At. Post Babulgaon, Tal Yeola, Nashik",sndcoe.principal@gmail.com,Nashik,Dr. H.N. Kudal,225012,225011,Prof I. R. Shaikh,Non-Autonomous,2006
146,5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik","At / Po Chincholi, Tal. Sinnar, Nashik",svit.nashik@pravara.in,Nashik,Prof. (Dr.)Y.R.KHARDE,271278,271261,Mr. Ghuge S L,Non-Autonomous,1998
147,5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik","Anjaneri Village, Trimbakeshwar, Dist.Nashik 422103",princi.bvcoe@gmail.com,Nashik,Prof. C.K. Patil,220202,2464691,Mr. Pagar Samadhan S.,Non-Autonomous,2008
148,5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.","A/P.Loni, Tal.Rahata Dist.Ahmednagar",principal@pravaraengg.org.in,Ahmednagar,Dr. S. M. Gulhane,273204,273204,Mr. B. M. Pansare,Non-Autonomous,1983
149,5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon","Sahajanand Nagar, Po : Shingnapur, Tal : Kopargaon, Dist. Ahmednagar",principalcoe@sanjivani.org.in,Ahmednagar,Dr. D.N.Kyatanavar,9130191301,222469,Shri K.M. Bhavsar,Autonomous,1983
150,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar","vadgaon Gupta, Vilad Ghat, P.O.-MIDC, Ahmednagar",prin_coea@yahoo.com,Ahmednagar,Dr. Uday Naik,2777296,2779496,Mr. A.T.Bhosale,Non-Autonomous,1983
151,5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar","Poojya Sane Guruji Vidya Prasarak Mandal's, D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",principal@coeshahada.ac.in,Nandurbar,PROF. DR. N. J. PATIL,229649,229649,Shri. D. N. Patil,Non-Autonomous,1983
152,5167,"Sanjay Education Society's College of Engineering, Navalnagar","Navalnagar, Tal & Dist. Dhule",coenavalnagar@gmail.com,Dhule,Dr. B.K. Mukherjee,260238,260245,Prof. P. R. Gawande,Non-Autonomous,1984
153,5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur","Jivram Nagar, ,Nhavi Marg, PO:Faizpur(MSSK), Dist. Jalgaon",jtmcoef@rediffmail.com,Jalgaon,Dr. Ravindra Deoram Patil,248256,248179,Pradip Vishnu Chaudhari,Non-Autonomous,1984
154,5169,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule","Nagaon At Post. Nagaon, Tal&Dist. Dhule",nagaonengg@rediffmail.com,Dhule,Dr. Adwait M. Vaidya,243170,243000,Shri. J. F. Patil,Non-Autonomous,1991
155,5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal","Near Z.T.C Bhusawal, Dist. Jalgaon",rps125@rediffmail.com,Jalgaon,"Dr. R. P. Singh (Approved by N.M.U., Jalgaon)",221719,221719,Dr R P Singh,Non-Autonomous,1998
156,5171,"Godavari Foundation's Godavari College Of Engineering, Jalgaon","Plot No.51, Dr. Ulhas Patil Nagar, Additional MIDC, Bhusawal Road, N.H.No.6, Jalgaon",gcoe2008@gmail.com,Jalgaon,DR VIJAY HARI PATIL,2212999,2213500,Ishwar Shenfadu Jadhav,Non-Autonomous,1999
157,5172,"R. C. Patel Institute of Technology, Shirpur","Near Nimzari Naka, Shirpur Dist. Dhule",registrar@rcpit.ac.in,Dhule,Prof. Dr. J. B. Patil,259600,259600,Prashant Mahajan,Non-Autonomous,2001
158,5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)","Jain Gurukul, Neminagar, Chandwad Dist. Nashik",principalcoe@snjb.org,Nashik,Dr. Kokate M D,205527,253752,Mr. Jadhav M M,Non-Autonomous,2004
159,5176,"G. H. Raisoni College of Engineering and Management, Ahmednagar","G.No.1030, At/Post-Chas,Nagar-Pune Road, Ahmednagar",ghrcemahm@raisoni.net,Ahmednagar,Dr.Jayakumar Jayaraman,2570123,2570123,Mr.Sunil R.Dhobe,Non-Autonomous,2008
160,5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik","At Post Eklahare, Taluka & District Nashik",gkkharate@rediffmail.com,Nashik,Dr. G.K. Kharate,2406600,2406600,Mr. Nagare Baban .T.,Non-Autonomous,2008
161,5179,"Vishwabharati Academy's College of Engineering, Ahmednagar","Sarola Baddi ,Jamkhed Road , Ahmednagar",principal_vacoea@yahoo.com,Ahmednagar,Dr. Pranay Ajabrao Makasare,2660033,2660033,Mr.Bargale R.P.,Non-Autonomous,2008
162,5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik","Sapkal Knowldege Hub,Kalyani Hills, Anjaneri- Wadholi, Tal. Trimbak, Nashik",gns_engineering@sapkalknowledgehub.org,Nashik,Prof (Dr.) Sahebrao B. Bagal,220175,220175,Mr. Nitin G. Jaware,Non-Autonomous,2009
163,5183,"Shri Chhatrapati Shivaji College of Engineering, (Rahuri Factory), Tal.Rahuri, Dist.Ahmednagar","Shree Shivaji Nagar (Rahuri Factory), Tal. Rahuri, Dist. Ahmednagar",scsc_eng@yahoo.in,Ahmednagar,Dr. Sable Kishor Sambhaji,251200,9156532111,Shri. Adhav Yogesh Janardhan,Non-Autonomous,2009
164,5225,"Shree Sant Muktabai Sansthan's Shri Sant Muktabai Institute of Technology, Jalgaon","B.J Nagar Pimparala Road, P.Box No 132, Jalgaon , 425001",smitcollegejalgaon@gmail.com,Jalgaon,Miss. V.S.Neve ( I/C Principal),2250500,2250776,Patil Diwakar Jijabrao,Non-Autonomous,1983
165,5229,"Technical & Medical Education Society's J. T. Mahajan Polytechnic, Faizpur","Nhavimarg, Faizpur Jalgaon , 425524",jtmpfaiz@gmail.com,Jalgaon,Shri. Pradeep Bhagwat Patil,248156,248556,Shri.Ramanlal Ghanashyam Mahajan,Non-Autonomous,1983
166,5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik","Bhujbal Knowledge City, Adgaon ,Nashik 422003",principal_iot@bkc.met.edu,Nashik,Dr Rajendra S Narkhede,2555825,2555825,S. N. PILLAI,Non-Autonomous,2006
167,5246,"Kai. Vanjibaba Gramin Vikas Mandal, Shantidevi Chavhan Institute of Engineering & Technology, Chalisgaon","Survey No. 94/3/1 & 2, At Post Bhoras, Tal Chalisagtion, Jalgaon , 424101",1004principal@msbte.com,Jalgaon,Mr. D A Patil,257356,257357,PATIL S.H.,Non-Autonomous,2008
168,5249,"Trimurti Shikshan Prasarak Mandal, Trimurti Institute Of Technology, Paladhi Bk, Jalgaon","Survey No.227/2, Paldhi Bk, Next To North Maharashtra University, Tal-Dhamangaon, Dist:Jalgaon",manojpatil9737@rediffmail.com,Jalgaon,Manoj P. Patil ( director ),202292,202292,manoj patil,Non-Autonomous,2009
169,5253,"Kisan Dnyanoday Mandal Gudhe's Dr. Uttamrao Mahajan Institute Of Engineering & Technology,Chalisgaon, Jalgaon","Gat No.140 2 A/1,140 2 A/2, Aurangabad Byepass Road, Chalisgaon Dist-Jalgaon 424101",1178principal@msbte.com,Jalgaon,A.M PATARE,202252,202252,Dr. H. U. Mahajan,Non-Autonomous,2009
170,5263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik","Dhanore Tal.Yeola, Dist.Nashik 423401",mityeola@gmail.com,Nashik,Prof.G S Gujrathi,267561,267560,Mr.R P Phad,Non-Autonomous,2009
171,5330,"Pune Vidyarthi Griha's College Of Engineering, Nashik","206, Dindori Road, Near Meri, Mhasrul, Nashik",pvgcoenashik@gmail.com,Nashik,Dr. A. R. Rasane,6480036,6480003,Mr S.N.Gunjal,Non-Autonomous,2010
172,5363,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Technology, Agastkhind, Tal Sinner","Srv. No. 2, At. Post Agastkhind, Tal Sinner Dist. Nashik 422502",1473principal@msbte.com,Nashik,Mr. H. P. BHABAD,2551304,2551304,Akolkar Naresh Shashikant,Non-Autonomous,2010
173,5368,"Seva Shikshan Prasarak Mandal, Dr. N. J. Paulbudhe Institute of Technology, Narayandoho Tal Nagar, Ahmednagar",Gate No. 479 At. Post Narayandoho Tal Nagar Dist. Ahmednagar,polytech_paulbudhe@yahoo.in,Ahmednagar,Principal Mr.B. D. Borde,2030626,2030627,MR. KARAMPURI R.S.,Non-Autonomous,2010
174,5369,"Nashik Institute of Technology, Late Annasaheb Patil Polytechnic , Dindori Road Cannol road ,MERI ,Nashik","Srv. No,.155 / 1A Dindori Road Cannol road MERI Nashik",principal@nitnasik.com,Nashik,Dr. SURESH PANDURANG PAWAR,2024121,2629777,Mr. JAGTAP M.P.,Non-Autonomous,2010
175,5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.","At Post Dondaicha, Dist. Dhule",5381jaytech@gmail.com,Dhule,Dr. Purushottam D. Patil,256244123,244123,MR SHAMKUMAR BHAVSAR,Non-Autonomous,2011
176,5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti","Survey No. 162& 163, Nepti, Nagar Kalyan Road, Ahmednagar",scsmcoe.anr@hotmail.com,Ahmednagar,Dr. R. S. Deshpande,2568383,2568384,Mr. M. B. Amrute,Non-Autonomous,2011
177,5384,"Shree Saibaba Institute of Engineering, Research & Allied Sciences, Rahta.","At Post Rahta, Taluka Rahata, Dist. Ahmednagar",shrisaibabaengg@gmail.com,Ahmednagar,Prof. Aher Mahesh Shivajirao,204580,204578,Rohamare R.V.,Non-Autonomous,2011
178,5385,"Akole Taluka Education Society,s Technical Campus, Akole, Ahmednagar","Akole, Tal. Akole, Dist. Ahmednagar",akole2011@gmail.com,Ahmednagar,Dr. Prashant Radhakrishna Tambe,221123,95957577,Wakchaure Santosh Tukaram,Non-Autonomous,2011
179,5395,"Ashok Institute of Engineering & Technology(Polytechnic), Shrirampur.","Ashok Nagar, Tal.Shrirampur, Dist. Ahmednagar.413717",ashoktech_ashoknagar@yahoo.com,Ahmednagar,Kadu Arun Ramnath,246021,246021,Thorat Sachin N,Non-Autonomous,2011
180,5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.","Survey No.48, Gowardhan, Gangapur Road, Nashik.",principaljitnashik@rediffmail.com,Nashik,Dr.M. V. Bhatkar,2970077,2970077,Mr. Jagdish V. Patil,Non-Autonomous,2012
181,5408,"Vidya Niketan College of Engineering, Bota Sangamner","Gat No. 670, Vidya Nagari, Pune Nashik Road, at post Bota, TalSangamner, Dist. Ahmednagar.",vncoe.principal@gmail.com,Ahmednagar,SIDDALINGESH G.,8600888433,8600888433,SANDIP BHAIK,Non-Autonomous,2012
182,5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar","At Post Karjule Harya, Tal. Parner, Dist Ahmednagar",rajivgandhi.iot@gmail.com,Ahmednagar,Dr.Tidke Pandurang Ashruba,295101,9604049525,Mr.Pawar Santosh Barku,Non-Autonomous,2012
183,5414,"Nikam Institute of Technology(Polytechnic),Dhule","Morane-Gondur byPass road,Gondur",5414nikampoly@gmail.com,Dhule,PRAKALP P.PATIL,297309,297309,JITENDRA ANANDRAO SONAWANE,Non-Autonomous,2013
184,5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.","Khalsa Educational Complex, Guru Gobind Singh Marg, Nashik.",gcoerc.nashik@ggsf.edu.in,Nashik,Dr. Neelkanth G. Nikam,2372766,2372766,Manoj Koli,Non-Autonomous,2013
185,5419,"Mauli Institute of Technology (Polytechnic), Amalner, Dist. Jalgaon","Gut No.25/1/A, Dheku Road, Ambasan Dheku, Amalner, District Jalgaon.",maulipoly@gmail.com,Jalgaon,Prof. K.R.PATIL.,218200,7588007270,MR.SWAPNIL PATIL,Non-Autonomous,2013
186,5431,"Shri. Sai Institute of Technology, Amalner","Gat NO.15/1, Devli/Devgaon, Tal.Amalner, Dist Jalgaon.",php_pune@rediffmail.com,Jalgaon,Prakash H. Patil,218312,9423479388,Prakash H. Patil,Non-Autonomous,2015
187,5449,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule","Survey No. 499/1, Plot No.2, Behind Gurudwara, Mumbai Agra Highway, Dhule",IOTDhule@svkm.ac.in,Dhule,Dr. Nilesh P. Salunke,2562297801,2562297801,Mr. Anmol Suryavanshi,Non-Autonomous,2017
188,6004,"Government College of Engineering & Research, Avasari Khurd","Avasari, Tal. Ambegaon. Dist. Pune",gcoeara@gmail.com,Pune,Dr. A.S. Pant,230582,230582,"I/c Registrar, Shri. C.A. Suryawanshi",Non-Autonomous,2009
189,6005,"Government College of Engineering, Karad","Vidyanagar, Karad Dist. Satara",principal@gcekarad.ac.in,Satara,Dr. A T Pise,272414,272415,Mr. D. Y. Peraspure,Autonomous,1960
190,6007,"Walchand College of Engineering, Sangli","Walchand College of Engineering, Vishram Bagh, Sangli",director@walchandsangli.ac.in,Sangli,Dr. P. G. Sonavane,2303433,2305506,Dr. D. B. Kulkarni,Autonomous,1947
191,6018,"Institute of Civil and Rural Engineering(aided), Gargoti, Kolhapur","Hutatma Murlidhar Nagar, Gargoti, Kolhapur 416209",icre_gargoti@rediffmail.com,Kolhapur,Shri. Jayant Shankar Ghevade,220069,220249,Shri Bhoite P.D.,Non-Autonomous,1957
192,6020,"Cusrow Wadia Institute of Technology( Aided ), Pune","19, Bundgarden Rd.,Pune Pune , 411001",cwitpune@rediffmail.com,Pune,PROF. RAO.V.R.,26164814,26161310,Shri S. R. Abnave,Autonomous,1938
193,6113,"Sinhgad Technical Education Society's Sinhgad Institute of Management, Vadgaon (Budruk), Pune","S. No. 44/1, Opp Sinhagad Road, Vadgaon (Budruk), Pune 411041",director_siom@sinhgad.edu,Pune,Dr. Daniel Penkar,24356592,24355531,Mrs.Rupali Warokar,Non-Autonomous,1994
194,6139,"Progressive Education Society's Modern College of Engineering, Pune","P.E.S. Modern College of Engineering, 1186 A, Shivajinagar, Off. J.M. Road, Pune",pesmcoe@gmail.com,Pune,Dr.Mrs.K.R. Joshi,25533638,25533638,Mr. D. D. Gangurde,Non-Autonomous,1999
195,6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune","S. No. 80/3, Mumbai Pune Bypass Highway, Tathawade,Tal-Munshi, Dist. Pune",rscoe@jspm.edu.in,Pune,Dr. R. K. Jain,22933423,22934347,Dr. Amey A Choudhari,Autonomous,2001
